,Unnamed: 0,Descriptions,Amount,Category,date,customer_id,type,is_scam_transaction,fraud_type,case_id,transaction_id,month,customer_scammed,In_or_Out,bank_to,bank_from,transac_prob,customer_prob,priority,date_DF_created,preds,diff
41432,41433,Electronics Purchase - Online Store,34.35,Electronics,19/11/2023,15958,spending,1,Purchase,6915255,5803608,November,1,paid_out,bank_E,bank_C,0.29,0.82,1,03/11/2023,,-1
41610,41611,Payment for Outstanding Tax Fine,75.5,Utilities,19/11/2023,18816,spending,1,Impersonation,5687707,1443891,November,1,paid_out,bank_B,bank_A,0.54,0.46,1,03/11/2023,,-1
41696,41697,Air bnb extra cleaning fees,24.3,Holiday,19/11/2023,12168,spending,1,Purchase,4772305,7486197,November,1,paid_out,bank_B,bank_D,0.15,0.84,1,03/11/2023,,-1
41796,41797,V&I visa check fees ,68.8,Utilities,19/11/2023,10174,spending,1,Impersonation,3760920,1288348,November,1,paid_out,bank_B,bank_E,0.49,0.77,1,03/11/2023,,-1
41916,41917,Mortgage assistance,45.8,Utilities,20/11/2023,13063,spending,1,Romance,3737373,7963648,November,1,paid_out,bank_C,bank_E,0.14,0.59,1,03/11/2023,1,0
42243,42244,HMRC tax rebate upfront fee,142.95,Utilities,20/11/2023,18818,spending,1,Impersonation,2332725,1273086,November,1,paid_out,bank_E,bank_D,0.52,0.67,2,03/11/2023,,-1
42376,42377,Hotel Reservation - Travel Website,36.7,Holiday,20/11/2023,10271,spending,1,Purchase,1000215,4990884,November,1,paid_out,bank_C,bank_E,0.29,0.89,1,03/11/2023,,-1
42386,42387,Electronics Purchase - Online Store,35.65,Electronics,20/11/2023,16417,spending,1,Purchase,1319323,1600689,November,1,paid_out,bank_C,bank_D,0.24,0.69,1,03/11/2023,,-1
42620,42621,HMRC tax rebate upfront fee,97.35,Utilities,20/11/2023,15233,spending,1,Impersonation,7850789,8739701,November,1,paid_out,bank_E,bank_A,0.7,0.64,2,03/11/2023,,-1
42787,42788,Inheritance release banking charges covered,2,Utilities,21/11/2023,17027,spending,1,AdvanceFee,6755903,8910393,November,1,paid_out,bank_D,bank_A,0.14,0.72,1,03/11/2023,,-1
43093,43094,ClothesOnline additional posting payment,35.35,Shopping,21/11/2023,17619,spending,1,Purchase,7724005,2745842,November,1,paid_out,bank_C,bank_B,0.33,0.48,1,03/11/2023,,-1
43141,43142,IRS Tax Payment - Urgent Action Required,166.1,Transfers,21/11/2023,14620,spending,1,Impersonation,2663519,2140255,November,1,paid_out,bank_A,bank_C,0.56,0.53,3,03/11/2023,,-1
43492,43493,HMRC tax rebate upfront fee,172.55,Utilities,22/11/2023,13301,spending,1,Impersonation,3411102,6783942,November,1,paid_out,bank_C,bank_C,0.77,0.5,3,03/11/2023,,-1
43616,43617,Emergency Medical Expense for My Partner,6.9,Healthcare,22/11/2023,14513,spending,1,Romance,1624690,2955298,November,1,paid_out,bank_A,bank_C,0.27,0.81,1,03/11/2023,1,0
43632,43633,Facebook Marketplace Upfront payment,34.8,Utilities,22/11/2023,14647,spending,1,Purchase,3460938,1964346,November,1,paid_out,bank_A,bank_A,0.11,0.6,1,03/11/2023,,-1
43686,43687,Air bnb extra cleaning fees,44.9,Holiday,22/11/2023,14905,spending,1,Purchase,5956814,6524434,November,1,paid_out,bank_E,bank_A,0.33,0.64,1,03/11/2023,,-1
43721,43722,Facebook Marketplace Upfront payment,49.15,Utilities,22/11/2023,13310,spending,1,Purchase,2731633,5301877,November,1,paid_out,bank_C,bank_D,0.53,0.63,1,03/11/2023,,-1
43897,43898,Grant Approval - Small Processing Charge,42.05,Utilities,22/11/2023,19167,spending,1,AdvanceFee,4350332,4012883,November,1,paid_out,bank_B,bank_A,0.3,0.73,1,03/11/2023,,-1
43941,43942,Designer Handbag - Luxury Boutique,39.1,Shopping,22/11/2023,16244,spending,1,Purchase,5327776,3944137,November,1,paid_out,bank_C,bank_B,0.22,0.66,1,03/11/2023,1,0
43944,43945,HMRC tax rebate upfront fee,8.9,Utilities,22/11/2023,16417,spending,1,Impersonation,3740456,5508538,November,1,paid_out,bank_D,bank_D,0.16,0.69,1,03/11/2023,,-1
43962,43963,Facebook Marketplace Upfront payment,28.7,Utilities,22/11/2023,16244,spending,1,Purchase,7040651,4110310,November,1,paid_out,bank_E,bank_B,0.19,0.66,1,03/11/2023,1,0
44095,44096,Traffic Violation Fine,12.1,Utilities,22/11/2023,10911,spending,1,Impersonation,3516155,6296247,November,1,paid_out,bank_B,bank_A,0.13,0.85,1,03/11/2023,,-1
44105,44106,Payment for Outstanding Tax Fine,33.75,Utilities,22/11/2023,18712,spending,1,Impersonation,5291396,5846961,November,1,paid_out,bank_E,bank_E,0.3,0.45,1,03/11/2023,1,0
44229,44230,Traffic Violation Fine,33.25,Utilities,23/11/2023,18396,spending,1,Impersonation,6738939,7958835,November,1,paid_out,bank_B,bank_B,0.31,0.65,1,03/11/2023,,-1
44662,44663,Sport event tickets,41.3,Entertainment,23/11/2023,10271,spending,1,Purchase,1678336,6270206,November,1,paid_out,bank_B,bank_E,0.17,0.89,1,03/11/2023,,-1
44725,44726,Vendor Banking Update,389.45,Shopping,23/11/2023,11348,spending,1,InvoiceMandate,2920942,2846368,November,1,paid_out,Intrnl,bank_E,0.68,0.56,4,03/11/2023,1,0
44746,44747,HMRC tax rebate upfront fee,252.15,Utilities,23/11/2023,17156,spending,1,Impersonation,5947086,3858570,November,1,paid_out,Intrnl,bank_E,0.78,0.43,4,03/11/2023,,-1
44969,44970,Binary Options Investment - Instant Profits,82.15,Investment,24/11/2023,11087,spending,1,Investment,5562607,8267791,November,1,paid_out,Intrnl,bank_B,0.63,0.56,4,03/11/2023,,-1
44998,44999,Facebook Marketplace Upfront payment,31.15,Utilities,24/11/2023,16244,spending,1,Purchase,2157558,2541472,November,1,paid_out,bank_C,bank_B,0.23,0.66,1,03/11/2023,,-1
45099,45100,Law Enforcement Fine - Pay Now to Avoid Arrest,194.9,Utilities,24/11/2023,11641,spending,1,Impersonation,5068607,8323060,November,1,paid_out,bank_D,bank_A,0.67,0.51,3,03/11/2023,1,0
45160,45161,HMRC tax rebate upfront fee,102.65,Utilities,24/11/2023,10174,spending,1,Impersonation,6745333,5367005,November,1,paid_out,bank_E,bank_E,0.68,0.77,2,03/11/2023,,-1
45162,45163,Sport event tickets,51.2,Entertainment,24/11/2023,11348,spending,1,Purchase,7216482,5183051,November,1,paid_out,bank_C,bank_E,0.46,0.56,1,03/11/2023,,-1
45324,45325,Hotel Reservation - Travel Website,40.25,Holiday,24/11/2023,18873,spending,1,Purchase,8636531,7194153,November,1,paid_out,bank_C,bank_E,0.2,0.74,1,03/11/2023,,-1
45364,45365,ClothesOnline additional posting payment,29.4,Shopping,24/11/2023,15496,spending,1,Purchase,5468354,6866271,November,1,paid_out,bank_E,bank_D,0.34,0.8,1,03/11/2023,,-1
45582,45583,Neiman Marcus - Designer Shopping,210.65,Shopping,24/11/2023,15971,spending,1,Romance,2884221,2978781,November,1,paid_out,bank_C,bank_E,0.57,0.55,3,03/11/2023,1,0
46040,46041,Private Yacht Charter - Mediterranean Cruise,77.15,Holiday,25/11/2023,13063,spending,1,Romance,1065076,4519080,November,1,paid_out,bank_C,bank_E,0.33,0.59,1,03/11/2023,1,0
46053,46054,Guaranteed Returns - Investment Portfolio,297.4,Investment,25/11/2023,13121,spending,1,Investment,3460322,3075520,November,1,paid_out,bank_D,bank_A,0.78,0.54,3,03/11/2023,,-1
46352,46353,Sport event tickets,45.55,Entertainment,25/11/2023,17804,spending,1,Purchase,8613680,1969438,November,1,paid_out,bank_B,bank_A,0.18,0.62,1,03/11/2023,,-1
46677,46678,Sport event tickets,34.25,Entertainment,26/11/2023,12628,spending,1,Purchase,8321585,7945025,November,1,paid_out,bank_A,bank_A,0.39,0.42,1,03/11/2023,1,0
46746,46747,"Money transfer - partner, emergency fund",2.95,Transfers,26/11/2023,16154,spending,1,Romance,5858349,2541420,November,1,paid_out,bank_E,bank_E,0.35,0.41,1,03/11/2023,,-1
46990,46991,Traffic Violation Fine,47.9,Utilities,26/11/2023,17966,spending,1,Impersonation,7772372,2173692,November,1,paid_out,bank_D,bank_A,0.35,0.61,1,03/11/2023,,-1
47291,47292,Inheritance release banking charges covered,70.3,Utilities,27/11/2023,18816,spending,1,AdvanceFee,7896092,5423851,November,1,paid_out,bank_A,bank_A,0.31,0.46,1,03/11/2023,,-1
47326,47327,Facebook Marketplace Upfront payment,49.55,Utilities,27/11/2023,13301,spending,1,Purchase,2735988,5826822,November,1,paid_out,bank_E,bank_C,0.14,0.5,1,03/11/2023,,-1
47737,47738,Law Enforcement Fine - Pay Now to Avoid Arrest,207,Utilities,27/11/2023,10911,spending,1,Impersonation,8252448,7752237,November,1,paid_out,bank_D,bank_A,0.76,0.85,3,03/11/2023,,-1
47739,47740,"Claim Your Lottery Winnings - Processing Fee""",56.6,Shopping,27/11/2023,11824,spending,1,AdvanceFee,5669051,7930819,November,1,paid_out,bank_E,bank_C,0.55,0.79,1,03/11/2023,,-1
47821,47822,Law Enforcement Fine - Pay Now to Avoid Arrest,112.4,Utilities,27/11/2023,17038,spending,1,Impersonation,7291815,6462324,November,1,paid_out,bank_A,bank_C,0.57,0.79,2,03/11/2023,,-1
47934,47935,Binary Options Investment - Instant Profits,77.75,Investment,28/11/2023,11360,spending,1,Investment,8987963,4224466,November,1,paid_out,bank_D,bank_B,0.54,0.41,1,03/11/2023,,-1
48190,48191,Bitcoin Doubler - Double Your Coins,67.35,Investment,28/11/2023,15097,spending,1,Investment,4696613,4563672,November,1,paid_out,bank_E,bank_C,0.46,0.42,1,03/11/2023,,-1
48208,48209,Diamond Investment Fund - High-Value Returns,528.35,Investment,28/11/2023,18377,spending,1,Investment,3313396,3862687,November,1,paid_out,bank_D,bank_B,0.5,0.54,3,03/11/2023,,-1
48351,48352,Bank Account Verification - Immediate Response Needed,50.55,Transfers,28/11/2023,11087,spending,1,Impersonation,3238721,6404706,November,1,paid_out,bank_B,bank_B,0.37,0.56,1,03/11/2023,,-1
48646,48647,Traffic Violation Fine,144.35,Utilities,28/11/2023,11421,spending,1,Impersonation,5032407,7945668,November,1,paid_out,bank_C,bank_D,0.63,0.71,2,03/11/2023,1,0
48904,48905,Grant Approval - Small Processing Charge,83.45,Utilities,29/11/2023,14010,spending,1,AdvanceFee,1402741,7422896,November,1,paid_out,bank_E,bank_C,0.57,0.45,2,03/11/2023,1,0
48956,48957,Dinner for two,48.5,Dining Out,29/11/2023,16154,spending,1,Romance,8835750,8276782,November,1,paid_out,bank_D,bank_E,0.29,0.41,1,03/11/2023,0,-1
49227,49228,Electronics Purchase - Online Store,38.9,Electronics,29/11/2023,16427,spending,1,Purchase,2121684,3380664,November,1,paid_out,bank_A,bank_B,0.21,0.75,1,03/11/2023,,-1
49236,49237,InvestToday initial amount,25.35,Utilities,29/11/2023,16077,spending,1,AdvanceFee,7592273,7693359,November,1,paid_out,bank_A,bank_E,0.18,0.8,1,03/11/2023,,-1
49323,49324,V&I visa check fees ,36.95,Utilities,29/11/2023,12628,spending,1,Impersonation,8231582,3940016,November,1,paid_out,bank_D,bank_A,0.23,0.42,1,03/11/2023,,-1
49325,49326,V&I visa check fees ,88,Utilities,29/11/2023,18118,spending,1,Impersonation,4834383,2743194,November,1,paid_out,bank_E,bank_D,0.69,0.56,2,03/11/2023,1,0
49448,49449,eBay securitng item payment,116.35,Shopping,29/11/2023,18243,spending,1,AdvanceFee,3099207,7344761,November,1,paid_out,bank_E,bank_C,0.5,0.74,2,03/11/2023,1,0
49517,49518,IRS Tax Payment - Urgent Action Required,21.55,Transfers,29/11/2023,15233,spending,1,Impersonation,7278353,3881652,November,1,paid_out,bank_E,bank_A,0.36,0.64,1,03/11/2023,,-1
49528,49529,eBay securitng item payment,33.05,Shopping,30/11/2023,10710,spending,1,AdvanceFee,8352595,8461515,November,1,paid_out,bank_D,bank_A,0.19,0.87,1,03/11/2023,,-1
49610,49611,Canary island holiday ,37.35,Holiday,30/11/2023,15391,spending,1,Romance,3180808,2739448,November,1,paid_out,bank_B,bank_D,0.3,0.67,1,03/11/2023,,-1
49863,49864,V&I visa check fees ,39.85,Utilities,30/11/2023,19167,spending,1,Impersonation,2536931,1269009,November,1,paid_out,bank_B,bank_A,0.22,0.73,1,03/11/2023,,-1
50268,50269,eBay Fee For Requested Refund,61.45,Shopping,30/11/2023,17156,spending,1,Purchase,8540561,6593510,November,1,paid_out,bank_A,bank_E,0.44,0.43,1,03/11/2023,,-1
5379,5380,ATM Withdrawal - XYZ Bank Branch,100,Cash Withdrawal,05/10/2023,15786,spending,0,none,,,October,0,paid_out,,bank_B,0.11,0.64,2,03/11/2023,0,0
33187,33188,Wegmans,60,Groceries,08/11/2023,18576,spending,0,none,,,November,0,paid_out,bank_A,bank_E,0.4,0.22,1,03/11/2023,,0
13540,13541,Credit Card Payment - American Express **** 6789,180,Credit Card Payment,16/10/2023,10885,spending,0,none,,,October,0,paid_out,bank_C,bank_C,0.72,0.23,3,03/11/2023,,0
49336,49337,Transfer from Current to Savings,200,Transfers,29/11/2023,19017,spending,0,none,,,November,0,paid_out,bank_E,bank_E,0.63,0.67,3,03/11/2023,,0
24393,24394,Credit Card Payment - Mastercard **** 6789,150.5,Credit Card Payment,31/10/2023,14534,spending,0,none,,,October,0,paid_out,Intrnl,bank_D,0.74,0.57,4,03/11/2023,,0
3109,3110,ATM Withdrawal - ABC Bank ATM,60,Cash Withdrawal,03/10/2023,15480,spending,0,none,,,October,0,paid_out,,bank_E,0.14,0.33,2,03/11/2023,,0
36566,36567,ATM Withdrawal - XYZ Bank Branch,100,Cash Withdrawal,13/11/2023,16256,spending,0,none,,,November,0,paid_out,,bank_A,0.18,0.42,2,03/11/2023,,0
2777,2778,Morrisons,45,Groceries,02/10/2023,17008,spending,0,none,,,October,0,paid_out,bank_E,bank_C,0.13,0.64,1,03/11/2023,,0
38400,38401,Credit Card Payment - Discover **** 9012,120.5,Credit Card Payment,15/11/2023,17993,spending,0,none,,,November,0,paid_out,bank_E,bank_E,0.54,0.6,2,03/11/2023,,0
22463,22464,Giant Food,45,Groceries,28/10/2023,18792,spending,0,none,,,October,0,paid_out,bank_A,bank_A,0.29,0.24,1,03/11/2023,,0
15449,15450,Restaurant Dinner - Date Night,90,Dining Out,18/10/2023,11641,spending,0,none,,,October,1,paid_out,bank_A,bank_A,0.56,0.51,2,03/11/2023,,0
15410,15411,Credit Card Payment - Mastercard **** 2345,120.25,Credit Card Payment,18/10/2023,14589,spending,0,none,,,October,0,paid_out,bank_B,bank_A,0.54,0.56,2,03/11/2023,,0
16022,16023,Transfer from Savings to Current,300,Transfers,19/10/2023,16636,income,0,none,,,October,0,paid_in,bank_B,bank_B,,0.65,3,03/11/2023,,0
9880,9881,Netflix Subscription - Monthly Charge,12.99,Streaming Services,11/10/2023,15363,spending,0,none,,,October,0,paid_out,bank_D,bank_B,0.28,0.42,1,03/11/2023,,0
27849,27850,Utilities Payment - Internet Service,60,Utilities,02/11/2023,11723,spending,0,none,,,November,0,paid_out,bank_D,bank_D,0.41,0.56,1,03/11/2023,,0
18947,18948,ATM Withdrawal - STU Bank ATM,100,Cash Withdrawal,23/10/2023,13590,spending,0,none,,,October,0,paid_out,,bank_C,0.2,0.27,2,03/11/2023,,0
14111,14112,Online Retailer - Electronics Purchase,199.99,Online Shopping,17/10/2023,17038,spending,0,none,,,October,1,paid_out,Intrnl,bank_C,0.65,0.79,4,03/11/2023,,0
49958,49959,Transfer from Savings to Current,250,Transfers,30/11/2023,18418,income,0,none,,,November,0,paid_in,bank_C,bank_C,,0.5,3,03/11/2023,,0
10030,10031,Sports Medicine Clinic - Injury Evaluation,140,Healthcare,11/10/2023,15112,spending,0,none,,,October,0,paid_out,bank_B,bank_B,0.45,0.48,2,03/11/2023,,0
24535,24536,Savings Account Interest - October,15.6,Interest,31/10/2023,11824,income,0,none,,,October,1,paid_in,bank_C,bank_D,,0.79,1,03/11/2023,0,0
26257,26258,Rent Payment - Apt #203,1200,Housing,01/11/2023,17309,spending,0,none,,,November,0,paid_out,bank_D,bank_C,0.55,0.39,3,03/11/2023,,0
45271,45272,ATM Withdrawal - MNO Bank ATM,80,Cash Withdrawal,24/11/2023,14996,spending,0,none,,,November,0,paid_out,,bank_A,0.17,0.54,2,03/11/2023,,0
32988,32989,ATM Withdrawal - VWX Bank ATM,70,Cash Withdrawal,08/11/2023,18850,spending,0,none,,,November,0,paid_out,,bank_C,0.28,0.3,2,03/11/2023,0,0
19328,19329,Credit Card Payment - American Express **** 3456,200,Credit Card Payment,24/10/2023,13569,spending,0,none,,,October,0,paid_out,bank_E,bank_D,0.62,0.26,3,03/11/2023,,0
46406,46407,Electronics Store - Gadget Purchase,250.5,Electronics,25/11/2023,18166,spending,0,none,,,November,0,paid_out,bank_E,bank_A,0.69,0.53,3,03/11/2023,,0
11446,11447,Coffee Shop - Latte and Croissant,6.75,Dining Out,13/10/2023,18295,spending,0,none,,,October,0,paid_out,bank_B,bank_D,0.17,0.67,1,03/11/2023,0,0
14353,14354,Behavioral Health Hospital - Inpatient Care,250,Healthcare,17/10/2023,12037,spending,0,none,,,October,0,paid_out,bank_B,bank_A,0.63,0.63,3,03/11/2023,,0
45232,45233,ATM Withdrawal - DEF Bank ATM,90,Cash Withdrawal,24/11/2023,18403,spending,0,none,,,November,0,paid_out,,bank_E,0.28,0.37,2,03/11/2023,,0
14538,14539,ATM Withdrawal - MNO Bank ATM,80,Cash Withdrawal,17/10/2023,17783,spending,0,none,,,October,0,paid_out,,bank_B,0.27,0.42,2,03/11/2023,,0
206,207,Home Hospice Care - End-of-Life Care,200,Healthcare,01/10/2023,16251,spending,0,none,,,October,0,paid_out,bank_E,bank_A,0.72,0.59,3,03/11/2023,,0
13787,13788,Transfer to Vacation Fund,350,Transfers,16/10/2023,12523,spending,0,none,,,October,0,paid_out,bank_E,bank_B,0.63,0.29,3,03/11/2023,,0
6983,6984,Online Retailer - Home Decor,89.99,Online Shopping,07/10/2023,18021,spending,0,none,,,October,0,paid_out,bank_D,bank_D,0.43,0.49,2,03/11/2023,,0
25081,25082,Walmart - Affordable Shopping,45,Shopping,31/10/2023,18576,spending,0,none,,,October,0,paid_out,bank_E,bank_E,0.17,0.22,1,03/11/2023,,0
15592,15593,Home Improvement - Paint and Supplies,110.75,Home Improvement,19/10/2023,13472,spending,0,none,,,October,0,paid_out,bank_E,bank_C,0.42,0.62,2,03/11/2023,,0
23257,23258,ATM Withdrawal - VWX Bank ATM,70,Cash Withdrawal,29/10/2023,18912,spending,0,none,,,October,0,paid_out,,bank_D,0.16,0.36,2,03/11/2023,,0
8464,8465,ATM Withdrawal - PQR Bank ATM,80,Cash Withdrawal,09/10/2023,18279,spending,0,none,,,October,0,paid_out,,bank_C,0.15,0.7,2,03/11/2023,,0
29901,29902,ATM Withdrawal - PQR Bank ATM,70,Cash Withdrawal,04/11/2023,19599,spending,0,none,,,November,0,paid_out,,bank_C,0.25,0.43,2,03/11/2023,,0
19242,19243,Credit Card Payment - American Express **** 3456,200,Credit Card Payment,24/10/2023,13711,spending,0,none,,,October,0,paid_out,bank_E,bank_B,0.69,0.65,3,03/11/2023,,0
45200,45201,Publix,45,Groceries,24/11/2023,10913,spending,0,none,,,November,0,paid_out,bank_D,bank_B,0.16,0.23,1,03/11/2023,,0
21840,21841,IGA,40,Groceries,27/10/2023,15359,spending,0,none,,,October,0,paid_out,bank_E,bank_D,0.13,0.66,1,03/11/2023,,0
29822,29823,Phone Bill Payment - Mobile Co.,65,Utilities,04/11/2023,13472,spending,0,none,,,November,0,paid_out,bank_C,bank_C,0.39,0.62,1,03/11/2023,,0
41255,41256,Car Loan Payment - Auto Finance Inc.,300,Loan Payment,19/11/2023,16417,spending,0,none,,,November,1,paid_out,bank_C,bank_D,0.68,0.69,3,03/11/2023,,0
19048,19049,Giant Food,45,Groceries,23/10/2023,18355,spending,0,none,,,October,0,paid_out,bank_D,bank_A,0.27,0.57,1,03/11/2023,0,0
7014,7015,Ralphs,40,Groceries,07/10/2023,17781,spending,0,none,,,October,0,paid_out,bank_E,bank_A,0.14,0.39,1,03/11/2023,,0
38741,38742,Sainsbury's,40,Groceries,15/11/2023,16773,spending,0,none,,,November,0,paid_out,bank_C,bank_D,0.28,0.21,1,03/11/2023,,0
14724,14725,Publix Super Markets,55,Groceries,17/10/2023,10525,spending,0,none,,,October,1,paid_out,bank_B,bank_C,0.38,0.56,1,03/11/2023,,0
11960,11961,Credit Card Payment - Visa **** 7890,75.25,Credit Card Payment,14/10/2023,14515,spending,0,none,,,October,0,paid_out,Intrnl,bank_B,0.46,0.49,3,03/11/2023,0,0
47765,47766,ATM Withdrawal - XYZ Bank Branch,100,Cash Withdrawal,27/11/2023,15971,spending,0,none,,,November,1,paid_out,,bank_E,0.27,0.55,2,03/11/2023,0,0
319,320,Rent Payment - Apt #303,1500,Housing,01/10/2023,11928,spending,0,none,,,October,0,paid_out,bank_C,bank_E,0.67,0.33,3,03/11/2023,0,0
23111,23112,ATM Withdrawal - JKL Bank ATM,90,Cash Withdrawal,29/10/2023,12937,spending,0,none,,,October,0,paid_out,,bank_D,0.17,0.31,2,03/11/2023,,0
765,766,Rent Payment - Apt #203,1200,Housing,01/10/2023,19717,spending,0,none,,,October,0,paid_out,bank_E,bank_E,0.65,0.41,3,03/11/2023,,0
20540,20541,Charlotte Russe - Affordable Apparel,30,Shopping,25/10/2023,14534,spending,0,none,,,October,0,paid_out,bank_B,bank_D,0.13,0.57,1,03/11/2023,1,1
14205,14206,Fuel Purchase - Gas Station,42.75,Transportation,17/10/2023,15269,spending,0,none,,,October,0,paid_out,bank_A,bank_C,0.35,0.34,1,03/11/2023,,0
28871,28872,ATM Withdrawal - ABC Bank ATM,60,Cash Withdrawal,03/11/2023,16462,spending,0,none,,,November,0,paid_out,,bank_C,0.15,0.6,2,03/11/2023,,0
42486,42487,H&M - Clothing Purchase,45,Shopping,20/11/2023,17356,spending,0,none,,,November,0,paid_out,bank_E,bank_D,0.22,0.3,1,03/11/2023,,0
38373,38374,ATM Withdrawal - PQR Bank ATM,80,Cash Withdrawal,15/11/2023,13897,spending,0,none,,,November,0,paid_out,,bank_D,0.15,0.47,2,03/11/2023,,0
38255,38256,ATM Withdrawal - MNO Bank ATM,80,Cash Withdrawal,15/11/2023,10450,spending,0,none,,,November,0,paid_out,,bank_E,0.11,0.52,2,03/11/2023,0,0
23260,23261,Coffee Shop - Latte and Croissant,6.75,Dining Out,29/10/2023,10945,spending,0,none,,,October,0,paid_out,bank_A,bank_A,0.16,0.36,1,03/11/2023,0,0
38420,38421,Credit Card Payment - Visa **** 1234,75.25,Credit Card Payment,15/11/2023,18850,spending,0,none,,,November,0,paid_out,bank_D,bank_C,0.38,0.3,1,03/11/2023,,0
46613,46614,Dental Implant Surgery - Implant Procedure,180,Healthcare,26/11/2023,15655,spending,0,none,,,November,0,paid_out,bank_A,bank_A,0.77,0.23,3,03/11/2023,1,1
46658,46659,HEB Grocery,55,Groceries,26/11/2023,17781,spending,0,none,,,November,0,paid_out,bank_B,bank_A,0.43,0.39,1,03/11/2023,,0
44612,44613,Fuel Purchase - Gas Station,45.6,Transportation,23/11/2023,11585,spending,0,none,,,November,0,paid_out,bank_B,bank_D,0.6,0.43,1,03/11/2023,,0
30389,30390,Transfer from Savings to Current - Emergency Fund,500,Transfers,05/11/2023,16934,income,0,none,,,November,0,paid_in,bank_A,bank_A,,0.6,3,03/11/2023,1,1
16372,16373,ATM Withdrawal - STU Bank ATM,100,Cash Withdrawal,20/10/2023,11802,spending,0,none,,,October,0,paid_out,,bank_C,0.12,0.51,2,03/11/2023,,0
17899,17900,Online Retailer - Home Decor,89.99,Online Shopping,22/10/2023,10280,spending,0,none,,,October,0,paid_out,bank_C,bank_A,0.43,0.65,2,03/11/2023,,0
8027,8028,Transfer to Emergency Fund,200,Transfers,09/10/2023,11121,spending,0,none,,,October,0,paid_out,bank_C,bank_E,0.76,0.28,3,03/11/2023,,0
24449,24450,PacSun - Teen Fashion,45,Shopping,31/10/2023,13228,spending,0,none,,,October,0,paid_out,bank_C,bank_C,0.16,0.45,1,03/11/2023,,0
23638,23639,Credit Card Payment - Mastercard **** 5678,150,Credit Card Payment,30/10/2023,16427,spending,0,none,,,October,1,paid_out,bank_E,bank_B,0.65,0.75,2,03/11/2023,,0
28291,28292,Grocery Store - Fresh Produce,35.45,Groceries,03/11/2023,11349,spending,0,none,,,November,0,paid_out,bank_A,bank_B,0.23,0.36,1,03/11/2023,,0
22625,22626,Online Retailer - Tech Gadgets,249.99,Online Shopping,28/10/2023,16132,spending,0,none,,,October,0,paid_out,bank_D,bank_C,0.72,0.29,3,03/11/2023,,0
40063,40064,ATM Withdrawal - MNO Bank ATM,80,Cash Withdrawal,17/11/2023,13531,spending,0,none,,,November,1,paid_out,,bank_A,0.24,0.8,2,03/11/2023,,0
47235,47236,Boohoo - Trendy Fashion,35,Shopping,27/11/2023,13708,spending,0,none,,,November,0,paid_out,bank_B,bank_E,0.3,0.32,1,03/11/2023,,0
40566,40567,Monthly Account Maintenance Fee,7,Bank Fees,18/11/2023,11139,spending,0,none,,,November,0,paid_out,bank_C,bank_E,0.12,0.25,1,03/11/2023,0,0
11411,11412,Walmart Grocery,60,Groceries,13/10/2023,13906,spending,0,none,,,October,0,paid_out,bank_E,bank_D,0.38,0.46,1,03/11/2023,,0
34455,34456,Transfer to Investment Account,500,Transfers,10/11/2023,19534,spending,0,none,,,November,0,paid_out,bank_D,bank_D,0.75,0.62,3,03/11/2023,,0
3777,3778,Utilities Payment - Water and Sewer,60.75,Utilities,03/10/2023,12523,spending,0,none,,,October,0,paid_out,bank_E,bank_B,0.57,0.29,1,03/11/2023,,0
23563,23564,ATM Withdrawal - JKL Bank ATM,100,Cash Withdrawal,30/10/2023,16132,spending,0,none,,,October,0,paid_out,,bank_C,0.12,0.29,2,03/11/2023,,0
17147,17148,Food Lion,45,Groceries,21/10/2023,10154,spending,0,none,,,October,0,paid_out,bank_C,bank_A,0.14,0.55,1,03/11/2023,,0
41382,41383,ATM Withdrawal - XYZ Bank Branch,100,Cash Withdrawal,19/11/2023,18355,spending,0,none,,,November,0,paid_out,,bank_A,0.16,0.57,2,03/11/2023,0,0
43025,43026,Credit Card Payment - Mastercard **** 5678,135,Credit Card Payment,21/11/2023,16132,spending,0,none,,,November,0,paid_out,bank_C,bank_C,0.49,0.29,2,03/11/2023,,0
4748,4749,Vision Center - Eye Exam,95,Healthcare,04/10/2023,17156,spending,0,none,,,October,1,paid_out,bank_A,bank_E,0.58,0.43,2,03/11/2023,,0
8826,8827,Car Loan Payment - Auto Finance Inc.,300,Loan Payment,10/10/2023,19773,spending,0,none,,,October,0,paid_out,bank_D,bank_C,0.62,0.55,3,03/11/2023,,0
34493,34494,Safeway,50,Groceries,10/11/2023,17804,spending,0,none,,,November,1,paid_out,bank_C,bank_A,0.18,0.62,1,03/11/2023,,0
2515,2516,ATM Withdrawal - MNO Bank ATM,80,Cash Withdrawal,02/10/2023,16934,spending,0,none,,,October,0,paid_out,,bank_A,0.2,0.6,2,03/11/2023,,0
1982,1983,ATM Withdrawal - DEF Bank ATM,80,Cash Withdrawal,02/10/2023,13328,spending,0,none,,,October,0,paid_out,,bank_C,0.11,0.49,2,03/11/2023,0,0
9133,9134,Home Depot - Home Improvement,110.3,Home Improvement,10/10/2023,13709,spending,0,none,,,October,1,paid_out,bank_C,bank_D,0.53,0.5,2,03/11/2023,,0
19566,19567,Transfer to Vacation Fund,300,Transfers,24/10/2023,18168,spending,0,none,,,October,0,paid_out,bank_B,bank_A,0.8,0.65,3,03/11/2023,,0
